id,Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
1,10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,0,0,0,0,m,0,0,0,m,m,1
2,22,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,27,Hungary,-0.04,0.83,-0.08,0.83,0,-0.03,0.21,1.14,0.17,-0.03,-0.06,m,-0.02,m,1.21,-0.02,-0.02,-0.02,-0.03,0.17,m,m,-0.12,5.83,0.65,-0.11,2.75,1.44,0,1.17,0.89,0.57,0,0.38,-0.02,-6.14,0.81,0.1,0.08,0.43,0.43,0.27,0.88,-51339.66,-0.23,2.32,182.54,6.12,2.64,1.78,m,m,m,m,m,m,m,m,m,m,m,0,0.04,-0.01,0,556.42,-3403.32,992.39,-5259.67,95.05,148.11,0.9,0.92,0.82,0.92,1.16,110.93,0.85,0.96,0.91,m,m,1
4,73,Poland,0.01,0.73,0.04,1.06,0.1,0.01,0.37,1.78,0.27,0.02,0.02,0.02,0.01,0.05,1.37,0.02,0.01,0.01,0,0.18,0.04,-3.36,0.12,5.16,0.38,0.05,2.79,2.42,0,1.78,6.41,0.37,0,0.1,0.01,0.12,0.97,0.04,0.02,0.92,0.63,0.83,1.12,5641.04,0.02,0.35,32.46,3.21,2.81,5.4,-0.01,-0.06,-0.22,-0.11,-0.06,-0.15,-1.11,-0.17,1.17,-0.16,-7.63,0,0.01,0,0,638.87,14405.1,4623.46,12360.56,173.46,527.64,1.13,1.02,0.87,0.82,-0.1,1.09,0.62,0.97,0.78,-1.03,1.34,1
5,74,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,139,Poland,0.07,0.58,0.14,1.25,0.07,0.09,0.72,3.87,0.42,0.1,0.16,0.02,0.02,0.15,1.72,0.15,0.02,0.09,0.02,0.35,0.12,-10.31,0.42,4.19,0.12,0.21,7.02,6.53,3.87,3.88,15.43,0.46,1,0.24,0.02,1.33,1.16,0,0,1.16,0.54,1.29,1.42,2116,0.16,0.1,76.42,7.79,7.17,11.95,0.02,5.75,0,0.01,0,0.02,0.29,0.02,-0.13,0.02,0.13,0,0.01,0,0.04,1554.34,7386.05,m,7431.17,652.32,2012.56,0.97,0.97,0.84,0.72,1.45,4.46,0.81,0.76,0.69,0.06,-0.51,1
8,142,Czech Republic,0.03,0.21,0.05,1.52,0.4,0.04,3.81,0.16,0.79,0.04,0.43,0.24,0.21,0.19,4.81,0.13,0.24,0.03,0.21,0.39,0.17,-7.6,0.06,5.37,0.97,0.03,1.49,0.66,0.06,0.16,0.98,0.91,0.39,0.69,0.17,1.34,1.24,0.04,0.28,0.67,0.09,0.92,1.06,11112,0.04,0.15,6.31,3.19,1.76,0.19,0.17,m,m,0,0,0,0,0,m,0,0,0.01,0.03,0.29,0,424.15,8576.11,7527.19,12207.06,335.99,390.45,0.99,1.03,1.16,1.24,0.83,m,1.41,1.32,1.8,m,m,1
9,175,Poland,0,0.62,0.01,1.02,-0.01,0.01,0.61,1.66,0.38,0.02,0.02,0.06,0.01,0.15,1.61,0.02,0.01,0.02,0,0.39,0.14,-1.8,0.02,4.43,0.37,0.04,3.84,2.73,1.66,1.71,2,0.56,1,0.2,0.01,0.03,0.82,0.09,0.06,0.72,0.44,0.66,0.97,242,0.01,0.48,18.46,6.11,3.77,2.89,-0.05,0.03,0.9,0.1,0.06,0.16,0.53,0.22,3.44,0.21,6.28,0,0.01,0,0,894.33,39145.9,3593.47,22030.28,338.29,587.31,1.04,1.06,1.15,1.13,0.33,0.55,0.92,1.01,1.34,1.74,1.75,1
10,217,Poland,0.04,0.58,0.19,1.79,0.04,0.05,0.72,0.89,0.42,0.07,0.22,0.16,0.08,0.24,1.72,0.12,0.06,0.07,0.05,0.38,0.22,-3.69,0.32,4.88,0.43,0.16,3.58,1.44,0,0.91,1.2,0.77,0,0.92,0.08,54.79,1.79,0.16,0.18,0.72,0.23,0.71,1.31,14194.65,0.1,0.83,1192.32,4.38,3.79,1.52,0.24,0.4,0.87,0.1,0.11,0.17,0.29,0.43,3.27,0.24,1.51,0,0,0,0.04,563.96,4487.23,1511.6,3500.14,235.41,402.86,1.02,1.02,1.17,1.13,1.21,35.8,1.22,1.07,1.31,2.94,0.25,1
